## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		〔bg=#FFFF00〕VP #6	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕20/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕11	〔bg=#FFFF00,fg=#FF0000〕1.8%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕11	〔bg=#FFFF00,fg=#FF0000〕1.8%	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕25	〔bg=#FFFF00〕0	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.3%	
		〔bg=#FFFF00〕VP #8	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕20/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00〕0	〔bg=#FFFF00〕24	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00,fg=#FF0000〕4.7%	
		VP #9	 IR241213024	20/12	600	0	22	〔fg=#FF0000〕3.7%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	577	0	0	1	0	18	0	19	〔fg=#FF0000〕3.3%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕 IR241213024	〔bg=#FFFF00〕20/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕569	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕18	〔bg=#FFFF00〕0	〔bg=#FFFF00〕22	〔bg=#FFFF00,fg=#FF0000〕3.9%	
		VP #11	 IR241213024	20/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	0	0	3	0	18	0	21	〔fg=#FF0000〕3.5%	
		VP #12	 IR241213024	20/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	0	0	1	0	20	0	21	〔fg=#FF0000〕3.5%	
12/28/2024	E2-3B	VP #2			600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	579	0	0	0	1	14	0	15	〔fg=#FF0000〕2.6%	
		VP #4			600	0	19	〔fg=#FF0000〕3.2%		〔fg=#FF0000〕0.0%	19	〔fg=#FF0000〕3.2%	579	0	0	0	1	17	0	18	〔fg=#FF0000〕3.1%	
		〔bg=#FFFF00〕VP #5			〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕587	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕1	〔bg=#FFFF00〕18	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.4%	
		VP #6			600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	598	0	0	2	0	17	0	19	〔fg=#FF0000〕3.2%	
		VP #8			600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	580	0	0	1	0	16	0	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #9			〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕18	〔bg=#FFFF00,fg=#FF0000〕3.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕18	〔bg=#FFFF00,fg=#FF0000〕3.0%	〔bg=#FFFF00〕588	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕2	〔bg=#FFFF00〕23	〔bg=#FFFF00〕0	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.4%	
		〔bg=#FFFF00〕VP #10			〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕589	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕2	〔bg=#FFFF00〕27	〔bg=#FFFF00〕0	〔bg=#FFFF00〕32	〔bg=#FFFF00,fg=#FF0000〕5.4%	
		〔bg=#FFFF00〕VP #12			〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕589	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕1	〔bg=#FFFF00〕22	〔bg=#FFFF00〕0	〔bg=#FFFF00〕24	〔bg=#FFFF00,fg=#FF0000〕4.1%	
12/30/2024	E2-3A	〔bg=#FFFF00〕VP #3	〔bg=#FFFF00〕 IR241225004	〔bg=#FFFF00〕25/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕595	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕19	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.4%	
		〔bg=#FFFF00〕VP #4	〔bg=#FFFF00〕 IR241225004	〔bg=#FFFF00〕25/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕592	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕25	〔bg=#FFFF00〕0	〔bg=#FFFF00〕25	〔bg=#FFFF00,fg=#FF0000〕4.2%	
		VP #5	 IR241225004	25/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	0	14	0	14	〔fg=#FF0000〕2.3%	
		VP #6	 IR241225004	25/12	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	594	1	0	0	0	6	0	7	〔fg=#FF0000〕1.2%	
		VP #7	 IR241225004	25/12	600	0	36	〔fg=#FF0000〕6.0%		〔fg=#FF0000〕0.0%	36	〔fg=#FF0000〕6.0%	538	1	0	0	0	9	0	10	〔fg=#FF0000〕1.9%	
		VP #8	 IR241225004	25/12	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	598	2	0	0	2	15	0	19	〔fg=#FF0000〕3.2%	
		VP #9	 IR241225004	25/12	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	595	0	0	0	0	10	0	10	〔fg=#FF0000〕1.7%	
		VP #10	 IR241225004	25/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	591	1	0	1	0	15	0	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR241225004	〔bg=#FFFF00〕25/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕543	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕18	〔bg=#FFFF00〕0	〔bg=#FFFF00〕19	〔bg=#FFFF00,fg=#FF0000〕3.5%	
1/2/2025	E2-3A	VP #3	 IR241227004	27/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	584	1	0	0	0	10	4	15	〔fg=#FF0000〕2.6%	
		VP #4	 IR241227004	27/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	2	0	2	0	10	2	16	〔fg=#FF0000〕2.7%	
		VP #5	 IR241227004	27/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	0	9	0	9	〔fg=#FF0000〕1.5%	
		VP #6	 IR241227004	27/12	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	597	1	0	0	0	10	6	17	〔fg=#FF0000〕2.8%	
		〔bg=#FFFF00〕VP #8	〔bg=#FFFF00〕 IR241227004	〔bg=#FFFF00〕27/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕564	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕8	〔bg=#FFFF00〕10	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.5%	
		VP #9	 IR241227004	27/12	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	588	1	0	0	1	10	4	16	〔fg=#FF0000〕2.7%	
		VP #10	 IR241227004	27/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	586	1	0	1	0	14	0	16	〔fg=#FF0000〕2.7%	
		VP #11	 IR241227004	27/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	2	0	1	0	15	0	18	〔fg=#FF0000〕3.0%	
		VP #12	 IR241227004	27/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	594	1	0	0	0	12	0	13	〔fg=#FF0000〕2.2%	
1/7/2025	E2-3B	VP #2	 IR241231007	31/12	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	599	0	0	1	0	19	0	20	〔fg=#FF0000〕3.3%	
		VP #4	 IR241231007	31/12	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	573	0	0	1	0	15	0	16	〔fg=#FF0000〕2.8%	
		VP #5	 IR241231007	31/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	1	0	1	0	16	0	18	〔fg=#FF0000〕3.0%	
		VP #7	 IR241231007	31/12	600	0	6	〔fg=#FF0000〕1.0%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	588	0	0	2	0	16	0	18	〔fg=#FF0000〕3.1%	
		〔bg=#FFFF00〕VP #8	〔bg=#FFFF00〕 IR241231007	〔bg=#FFFF00〕31/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕9	〔bg=#FFFF00,fg=#FF0000〕1.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕9	〔bg=#FFFF00,fg=#FF0000〕1.5%	〔bg=#FFFF00〕559	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕20	〔bg=#FFFF00〕0	〔bg=#FFFF00〕21	〔bg=#FFFF00,fg=#FF0000〕3.8%	
		VP #10	 IR241231007	31/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	599	0	0	0	0	19	0	19	〔fg=#FF0000〕3.2%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR241231007	〔bg=#FFFF00〕31/12	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕586	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕25	〔bg=#FFFF00〕0	〔bg=#FFFF00〕25	〔bg=#FFFF00,fg=#FF0000〕4.3%	
		VP #12	 IR241231007	31/12	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	594	0	0	0	1	18	0	19	〔fg=#FF0000〕3.2%	
1/8/2025	E2-3A	VP #2	 IR240104020	4/1	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	2	0	0	0	14	0	16	〔fg=#FF0000〕2.7%	
		VP #3	 IR240104020	4/1	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	595	1	1	0	0	12	4	18	〔fg=#FF0000〕3.0%	
		VP #5	 IR240104020	4/1	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	599	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		VP #7	 IR240104020	4/1	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	589	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		〔bg=#FFFF00〕VP #8	〔bg=#FFFF00〕 IR240104020	〔bg=#FFFF00〕4/1	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕588	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕18	〔bg=#FFFF00〕12	〔bg=#FFFF00〕30	〔bg=#FFFF00,fg=#FF0000〕5.1%	
		VP #9	 IR240104020	4/1	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	1	0	10	5	16	〔fg=#FF0000〕2.7%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕 IR240104020	〔bg=#FFFF00〕4/1	〔bg=#FFFF00〕600	〔bg=#FFFF00〕2	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%	〔bg=#FFFF00〕574	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕12	〔bg=#FFFF00〕32	〔bg=#FFFF00,fg=#FF0000〕5.6%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR240104020	〔bg=#FFFF00〕4/1	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕588	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕12	〔bg=#FFFF00〕34	〔bg=#FFFF00,fg=#FF0000〕5.8%	
		VP #12	 IR240104020	4/1	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	575	0	0	1	0	10	9	20	〔fg=#FF0000〕3.5%	
3/21/2025	E2-3B	〔bg=#FFFF00〕VP #2	〔bg=#FFFF00〕 IR250318032	〔bg=#FFFF00〕1/3	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕590	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕8	〔bg=#FFFF00〕28	〔bg=#FFFF00〕36	〔bg=#FFFF00,fg=#FF0000〕6.1%	
		VP #3	 IR250318032	1/3	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	594	0	0	0	0	6	12	18	〔fg=#FF0000〕3.0%	
		VP #5	 IR250318032	1/3	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	587	0	0	0	0	7	10	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #7	〔bg=#FFFF00〕 IR250318032	〔bg=#FFFF00〕1/3	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕590	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕2	〔bg=#FFFF00〕6	〔bg=#FFFF00〕22	〔bg=#FFFF00〕32	〔bg=#FFFF00,fg=#FF0000〕5.4%	
		〔bg=#FFFF00〕VP #8	〔bg=#FFFF00〕 IR250318032	〔bg=#FFFF00〕1/3	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕592	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00〕20	〔bg=#FFFF00〕27	〔bg=#FFFF00,fg=#FF0000〕4.6%	
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕 IR250318032	〔bg=#FFFF00〕1/3	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕592	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕14	〔bg=#FFFF00〕10	〔bg=#FFFF00〕27	〔bg=#FFFF00,fg=#FF0000〕4.6%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕 IR250318032	〔bg=#FFFF00〕1/3	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕590	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕17	〔bg=#FFFF00〕6	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.4%	
		VP #11	 IR250318032	1/3	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	585	0	0	1	1	10	6	18	〔fg=#FF0000〕3.1%	
		VP #12	 IR250318032	1/3	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	573	0	1	1	0	4	6	12	〔fg=#FF0000〕2.1%	
5/30/2025	E2-3A	VP #2	 IR250526023	16/4	320	0	6	〔fg=#FF0000〕1.9%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.9%	320	0	0	1	1	7	3	12	〔fg=#FF0000〕3.8%	
		〔bg=#FFFF00〕VP #3	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕588	〔bg=#FFFF00〕1	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.4%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕13	〔bg=#FFFF00,fg=#FF0000〕2.2%	〔bg=#FFFF00〕588	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕2	〔bg=#FFFF00〕15	〔bg=#FFFF00〕6	〔bg=#FFFF00〕25	〔bg=#FFFF00,fg=#FF0000〕4.3%	
		〔bg=#FFFF00〕VP #5	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕570	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.1%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.4%	〔bg=#FFFF00〕570	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕1	〔bg=#FFFF00〕17	〔bg=#FFFF00〕4	〔bg=#FFFF00〕23	〔bg=#FFFF00,fg=#FF0000〕4.0%	
		〔bg=#FFFF00〕VP #6	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕596	〔bg=#FFFF00〕0	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕596	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕23	〔bg=#FFFF00〕2	〔bg=#FFFF00〕28	〔bg=#FFFF00,fg=#FF0000〕4.7%	
		〔bg=#FFFF00〕VP #7	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕594	〔bg=#FFFF00〕0	〔bg=#FFFF00〕9	〔bg=#FFFF00,fg=#FF0000〕1.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕12	〔bg=#FFFF00,fg=#FF0000〕2.0%	〔bg=#FFFF00〕594	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕5	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.4%	
		VP #8	 IR250526023	16/4	572	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.9%	572	1	0	0	0	20	0	21	〔fg=#FF0000〕3.7%	
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕589	〔bg=#FFFF00〕0	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.4%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.4%	〔bg=#FFFF00〕589	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕38	〔bg=#FFFF00〕10	〔bg=#FFFF00〕49	〔bg=#FFFF00,fg=#FF0000〕8.3%	
